Date,OECD_Cons,OECD_dir,real_WTI,real_WTI_change,WTI_dir,capacity_change,cap_dir,W_gdp_change,W_gdp_dir
1Q 2001,1.59,1,34.89,0.04,1,1.15,1,3.4,1
2Q 2001,0.29,1,33.65,0.05,1,0.85,1,2.6,1
3Q 2001,-0.59,0,32.08,0.236284289276808,1,0.98,1,2.1,1
4Q 2001,-0.81,0,24.5,-0.0542857142857143,0,1.03,1,1.8,1
1Q 2002,-1.4,0,25.83,-0.21,0,0.84,1,2.19,1
2Q 2002,-0.41,0,31.23,-0.0726865193723983,0,1.81,1,2.71,1
3Q 2002,0.18,1,33.5,0.00686567164179104,1,0.76,1,3.26,1
4Q 2002,1.85,1,33.27,-0.20,0,-0.07,0,3.33,1
1Q 2003,2.53,1,39.87,0.15,1,-2.1,0,3.69,1
2Q 2003,1.8,1,33.85,-0.04,0,-4.09,0,3.51,1
3Q 2003,0.69,1,35.11,-0.03,0,-1.62,0,4.28,1
4Q 2003,0.87,1,36.02,-0.124375347029428,0,0.87,1,5.32,1
1Q 2004,1.12,1,40.5,-0.0758024691358025,0,3.73,1,6.13,1
2Q 2004,1.67,1,43.57,-0.14,0,5.33,1,6.58,1
3Q 2004,2.23,1,49.54,-0.09,0,3.11,1,6.03,1
4Q 2004,1.87,1,53.98,-0.03,0,1.32,1,5.4,1
1Q 2005,1.57,1,55.52,-0.06,0,1.15,1,5.21,1
2Q 2005,1.26,1,58.68,-0.18,0,2.02,1,5.08,1
3Q 2005,0.54,1,69.31,0.06,1,1.11,1,5.08,1
4Q 2005,-0.47,0,65.15,-0.05,0,0.44,1,5.45,1
1Q 2006,-0.39,0,68.28,-0.10,0,-0.04,0,5.8,1
2Q 2006,-0.56,0,75.37,0.01,1,-0.6,0,5.71,1
3Q 2006,-0.33,0,74.91,0.153651047924176,1,1.39,1,5.53,1
4Q 2006,-0.21,0,63.4,0.0406940063091483,1,1.24,1,5.64,1
1Q 2007,-1.45,0,60.82,-0.11,0,0.91,1,5.53,1
2Q 2007,0.2,1,67.62,-0.15,0,1.06,1,5.7,1
3Q 2007,-0.18,0,77.97,-0.20,0,-0.14,0,5.6,1
4Q 2007,0.13,1,93.46,-0.08,0,0.69,1,5.48,1
1Q 2008,-1.84,0,100.51,-0.26,0,0.96,1,4.92,1
2Q 2008,-2.05,0,126.64,0.05,1,0.77,1,4.3,1
3Q 2008,-4.88,0,120.11,0.51,1,0.6,1,3.33,1
4Q 2008,-5.56,0,59.43,0.27,1,0.24,1,0.56,1
1Q 2009,-4.71,0,43.66,-0.38,0,-0.02,0,-1.82,0
2Q 2009,-5.8,0,60.39,-0.14,0,0.49,1,-1.59,0
3Q 2009,-3.41,0,68.94,-0.11,0,2.46,1,-0.36,0
4Q 2009,-2.64,0,76.67,-0.03,0,3.3,1,2.24,1
1Q 2010,-1.22,0,79.32,0.02,1,4.22,1,5.11,1
2Q 2010,1.74,1,77.98,0.03,1,4.54,1,5.5,1
3Q 2010,3.61,1,75.95,-0.11,0,2.73,1,5.23,1
4Q 2010,1.77,1,84.63,-0.10,0,2.04,1,5.09,1
1Q 2011,0.24,1,92.94,-0.08,0,0.72,1,4.65,1
2Q 2011,-2.01,0,100.08,0.127697841726619,1,-1.59,0,4.08,1
3Q 2011,-1.29,0,87.3,-0.0497136311569301,0,-1,0,3.72,1
4Q 2011,-1.99,0,91.64,-0.09,0,-0.5,0,3.41,1
1Q 2012,-1.48,0,99.65,0.10,1,0.57,1,3.54,1
2Q 2012,0.33,1,89.94,0.02,1,1.74,1,3.44,1
3Q 2012,-2.04,0,88.32,0.05,1,1.09,1,3.3,1
4Q 2012,-0.77,0,83.97,-0.07,0,1.02,1,3.12,1
1Q 2013,-1.09,0,89.65,0.01,1,0,0,2.77,1
2Q 2013,0.21,1,89.11,-0.12,0,0.95,1,2.93,1
3Q 2013,0.75,1,99.73,0.08,1,1.34,1,3.18,1
4Q 2013,0.37,1,91.37,-0.01,0,0.62,1,3.33,1
1Q 2014,0.15,1,92.11,-0.04,0,1.72,1,3.02,1
2Q 2014,-1.55,0,95.93,0.06,1,1.95,1,3.1,1
3Q 2014,-0.86,0,90.43,0.25,1,3.15,1,3.11,1
4Q 2014,-0.25,0,67.61,0.34,1,4.46,1,3.06,1
1Q 2015,1.86,1,44.78,-0.19,0,3.24,1,3.2,1
2Q 2015,1.91,1,53.13,0.20,1,2.9,1,3.06,1
3Q 2015,2.45,1,42.64,0.10,1,2.53,1,2.86,1
4Q 2015,0.38,1,38.41,0.20,1,1.2,1,2.63,1
1Q 2016,0.26,1,30.56,-0.35,0,1.22,1,2.77,1
2Q 2016,0.87,1,41.38,0.02,1,-0.23,0,2.79,1
3Q 2016,0.6,1,40.69,-0.09,0,-0.91,0,2.75,1
4Q 2016,1.83,1,44.38,-0.04,0,0.32,1,2.99,1
1Q 2017,0.35,1,46.37,0.07,1,0.56,1,3.1,1
2Q 2017,2.34,1,43.06,0.00,1,1.68,1,3.26,1
3Q 2017,0.98,1,42.87,-0.14,0,2.33,1,3.36,1
4Q 2017,1.52,1,48.89,-0.13,0,1.45,1,3.16,1
1Q 2018,2.28,1,55.32,-0.07,0,1.94,1,3.31,1
2Q 2018,0.2,1,59.38,-0.02,0,2.27,1,3.27,1
3Q 2018,1.02,1,60.52,0.15,1,2.49,1,2.76,1
4Q 2018,-0.67,0,51.52,0.08,1,2.29,1,2.27,1
1Q 2019,-1.02,0,47.26,-0.0854845535336437,0,1.41,1,2.34,1
2Q 2019,-0.7,0,51.3,0.1,1,1.31,1,2.24,1
3Q 2019,-0.39,0,48.1,-0.00561330561330561,0,-0.19,0,1.92,1
4Q 2019,-0.2,0,48.37,0.21,1,0.6,1,1.48,1
1Q 2020,-4.78,0,38.43,0.38,1,1.41,1,-2.66,0
2Q 2020,-20.39,0,23.81,-0.45,0,-4.34,0,-9.46,0
3Q 2020,-12.2,0,34.51,-0.01,0,-3.52,0,-4.31,0
4Q 2020,-8.78,0,35.01,-0.06,0,-3.08,0,-3.63,0
1Q 2021,-2.46,0,37.26,-0.02,0,-2.8,0,1.18,1
2Q 2021,17.86,1,37.89,-0.01,0,3.72,1,9.14,1
3Q 2021,7.55,1,38.13,-0.02,0,3.88,1,4.38,1
4Q 2021,5.16,1,38.77,,,2.58,1,4.88,1
